lib	class	type	name	resolution	detail
bigdecimal	BigDecimal	#	save_exception_mode	wrong-type:singleton	ドキュメントは #(instance)だが、実際は singleton として存在する(BigDecimal)
bigdecimal	BigDecimal	#	save_limit	wrong-type:singleton	ドキュメントは #(instance)だが、実際は singleton として存在する(BigDecimal)
bigdecimal	BigDecimal	#	save_rounding_mode	wrong-type:singleton	ドキュメントは #(instance)だが、実際は singleton として存在する(BigDecimal)
cgi/cookie	CGI::Cookie	#	httopnly	not-found	CGI::Cookie 自身に綴り/構造の近いメソッドが存在(ドキュメントの誤字、またはメソッド名自体の変更(接頭辞付与など)の可能性): httponly, httponly= / 4.0でも同様に not-found(クラス自体が解決できず、名前が類似するクラスも見つからなかった)
cgi/cookie	CGI::Cookie	#	httopnly=	not-found	CGI::Cookie 自身に綴り/構造の近いメソッドが存在(ドキュメントの誤字、またはメソッド名自体の変更(接頭辞付与など)の可能性): httponly, httponly= / 4.0でも同様に not-found(クラス自体が解決できず、名前が類似するクラスも見つからなかった)
cgi/core	CGI	::	MAX_MULTIPART_LENGTH	not-found	CGI は存在するが MAX_MULTIPART_LENGTH はどの形(instance/singleton/const)でも存在しない / 4.0でも同様に not-found(クラス自体が解決できず、名前が類似するクラスも見つからなかった)
cgi/core	CGI::QueryExtension::Value	#	[]	not-found	クラス自体が解決できず、名前が類似するクラスも見つからなかった / 4.0でも同様に not-found(クラス自体が解決できず、名前が類似するクラスも見つからなかった)
cgi/core	CGI::QueryExtension::Value	#	first	not-found	クラス自体が解決できず、名前が類似するクラスも見つからなかった / 4.0でも同様に not-found(クラス自体が解決できず、名前が類似するクラスも見つからなかった)
cgi/core	CGI::QueryExtension::Value	#	last	not-found	クラス自体が解決できず、名前が類似するクラスも見つからなかった / 4.0でも同様に not-found(クラス自体が解決できず、名前が類似するクラスも見つからなかった)
cgi/core	CGI::QueryExtension::Value	#	set_params	not-found	クラス自体が解決できず、名前が類似するクラスも見つからなかった / 4.0でも同様に not-found(クラス自体が解決できず、名前が類似するクラスも見つからなかった)
cgi/core	CGI::QueryExtension::Value	#	to_a	not-found	クラス自体が解決できず、名前が類似するクラスも見つからなかった / 4.0でも同様に not-found(クラス自体が解決できず、名前が類似するクラスも見つからなかった)
cgi/core	CGI::QueryExtension::Value	#	to_ary	not-found	クラス自体が解決できず、名前が類似するクラスも見つからなかった / 4.0でも同様に not-found(クラス自体が解決できず、名前が類似するクラスも見つからなかった)
cgi/html	CGI::Html3	#	element_init	not-found	CGI::Html3 自身に綴り/構造の近いメソッドが存在(ドキュメントの誤字、またはメソッド名自体の変更(接頭辞付与など)の可能性): em, i / 4.0でも同様に not-found(クラス自体が解決できず、名前が類似するクラスも見つからなかった)
cgi/html	CGI::Html4	#	element_init	not-found	CGI::Html4 自身に綴り/構造の近いメソッドが存在(ドキュメントの誤字、またはメソッド名自体の変更(接頭辞付与など)の可能性): em, i / 4.0でも同様に not-found(クラス自体が解決できず、名前が類似するクラスも見つからなかった)
cgi/html	CGI::Html4Fr	#	element_init	not-found	CGI::Html4Fr は存在するが element_init はどの形(instance/singleton/const)でも存在しない / 4.0でも同様に not-found(クラス自体が解決できず、名前が類似するクラスも見つからなかった)
cgi/html	CGI::Html4Tr	#	element_init	not-found	CGI::Html4Tr 自身に綴り/構造の近いメソッドが存在(ドキュメントの誤字、またはメソッド名自体の変更(接頭辞付与など)の可能性): em, i / 4.0でも同様に not-found(クラス自体が解決できず、名前が類似するクラスも見つからなかった)
date	DateTime	.	today	not-found	DateTime は存在するが today はどの形(instance/singleton/const)でも存在しない / 4.0でも同様に not-found(DateTime は存在するが today はどの形(instance/singleton/const)でも存在しない)
etc	Etc::Passwd	#	age	env	Etc::Passwd は libc 由来の Struct でメンバー構成が OS 依存(例: age/change/comment/expire/quota/uclass は BSD 系のみ、vhid は FreeBSD の CARP 関連フィールド)。このサンドボックス(Linux)には無いだけで、対象 OS では存在しうる。aggregate.rb の PLATFORM_CLASSES(Socket/Etc の `::` 定数)と同種の環境要因。実測: Etc::Passwd.members(またはinstance_methods) に age が含まれない / 元判定: Etc::Passwd は存在するが age はどの形(instance/singleton/const)でも存在しない / 4.0でも同様に not-found(Etc::Passwd は存在するが age はどの形(instance/singleton/const)でも存在しない)
etc	Etc::Passwd	#	age=	env	Etc::Passwd は libc 由来の Struct でメンバー構成が OS 依存(例: age/change/comment/expire/quota/uclass は BSD 系のみ、vhid は FreeBSD の CARP 関連フィールド)。このサンドボックス(Linux)には無いだけで、対象 OS では存在しうる。aggregate.rb の PLATFORM_CLASSES(Socket/Etc の `::` 定数)と同種の環境要因。実測: Etc::Passwd.members(またはinstance_methods) に age= が含まれない / 元判定: Etc::Passwd は存在するが age= はどの形(instance/singleton/const)でも存在しない / 4.0でも同様に not-found(Etc::Passwd は存在するが age= はどの形(instance/singleton/const)でも存在しない)
etc	Etc::Passwd	#	change	env	Etc::Passwd は libc 由来の Struct でメンバー構成が OS 依存(例: age/change/comment/expire/quota/uclass は BSD 系のみ、vhid は FreeBSD の CARP 関連フィールド)。このサンドボックス(Linux)には無いだけで、対象 OS では存在しうる。aggregate.rb の PLATFORM_CLASSES(Socket/Etc の `::` 定数)と同種の環境要因。実測: Etc::Passwd.members(またはinstance_methods) に change が含まれない / 元判定: Etc::Passwd は存在するが change はどの形(instance/singleton/const)でも存在しない / 4.0でも同様に not-found(Etc::Passwd は存在するが change はどの形(instance/singleton/const)でも存在しない)
etc	Etc::Passwd	#	change=	env	Etc::Passwd は libc 由来の Struct でメンバー構成が OS 依存(例: age/change/comment/expire/quota/uclass は BSD 系のみ、vhid は FreeBSD の CARP 関連フィールド)。このサンドボックス(Linux)には無いだけで、対象 OS では存在しうる。aggregate.rb の PLATFORM_CLASSES(Socket/Etc の `::` 定数)と同種の環境要因。実測: Etc::Passwd.members(またはinstance_methods) に change= が含まれない / 元判定: Etc::Passwd は存在するが change= はどの形(instance/singleton/const)でも存在しない / 4.0でも同様に not-found(Etc::Passwd は存在するが change= はどの形(instance/singleton/const)でも存在しない)
etc	Etc::Passwd	#	comment	env	Etc::Passwd は libc 由来の Struct でメンバー構成が OS 依存(例: age/change/comment/expire/quota/uclass は BSD 系のみ、vhid は FreeBSD の CARP 関連フィールド)。このサンドボックス(Linux)には無いだけで、対象 OS では存在しうる。aggregate.rb の PLATFORM_CLASSES(Socket/Etc の `::` 定数)と同種の環境要因。実測: Etc::Passwd.members(またはinstance_methods) に comment が含まれない / 元判定: Etc::Passwd は存在するが comment はどの形(instance/singleton/const)でも存在しない / 4.0でも同様に not-found(Etc::Passwd は存在するが comment はどの形(instance/singleton/const)でも存在しない)
etc	Etc::Passwd	#	comment=	env	Etc::Passwd は libc 由来の Struct でメンバー構成が OS 依存(例: age/change/comment/expire/quota/uclass は BSD 系のみ、vhid は FreeBSD の CARP 関連フィールド)。このサンドボックス(Linux)には無いだけで、対象 OS では存在しうる。aggregate.rb の PLATFORM_CLASSES(Socket/Etc の `::` 定数)と同種の環境要因。実測: Etc::Passwd.members(またはinstance_methods) に comment= が含まれない / 元判定: Etc::Passwd は存在するが comment= はどの形(instance/singleton/const)でも存在しない / 4.0でも同様に not-found(Etc::Passwd は存在するが comment= はどの形(instance/singleton/const)でも存在しない)
etc	Etc::Passwd	#	expire	env	Etc::Passwd は libc 由来の Struct でメンバー構成が OS 依存(例: age/change/comment/expire/quota/uclass は BSD 系のみ、vhid は FreeBSD の CARP 関連フィールド)。このサンドボックス(Linux)には無いだけで、対象 OS では存在しうる。aggregate.rb の PLATFORM_CLASSES(Socket/Etc の `::` 定数)と同種の環境要因。実測: Etc::Passwd.members(またはinstance_methods) に expire が含まれない / 元判定: Etc::Passwd は存在するが expire はどの形(instance/singleton/const)でも存在しない / 4.0でも同様に not-found(Etc::Passwd は存在するが expire はどの形(instance/singleton/const)でも存在しない)
etc	Etc::Passwd	#	expire=	env	Etc::Passwd は libc 由来の Struct でメンバー構成が OS 依存(例: age/change/comment/expire/quota/uclass は BSD 系のみ、vhid は FreeBSD の CARP 関連フィールド)。このサンドボックス(Linux)には無いだけで、対象 OS では存在しうる。aggregate.rb の PLATFORM_CLASSES(Socket/Etc の `::` 定数)と同種の環境要因。実測: Etc::Passwd.members(またはinstance_methods) に expire= が含まれない / 元判定: Etc::Passwd は存在するが expire= はどの形(instance/singleton/const)でも存在しない / 4.0でも同様に not-found(Etc::Passwd は存在するが expire= はどの形(instance/singleton/const)でも存在しない)
etc	Etc::Passwd	#	quota	env	Etc::Passwd は libc 由来の Struct でメンバー構成が OS 依存(例: age/change/comment/expire/quota/uclass は BSD 系のみ、vhid は FreeBSD の CARP 関連フィールド)。このサンドボックス(Linux)には無いだけで、対象 OS では存在しうる。aggregate.rb の PLATFORM_CLASSES(Socket/Etc の `::` 定数)と同種の環境要因。実測: Etc::Passwd.members(またはinstance_methods) に quota が含まれない / 元判定: Etc::Passwd は存在するが quota はどの形(instance/singleton/const)でも存在しない / 4.0でも同様に not-found(Etc::Passwd は存在するが quota はどの形(instance/singleton/const)でも存在しない)
etc	Etc::Passwd	#	quota=	env	Etc::Passwd は libc 由来の Struct でメンバー構成が OS 依存(例: age/change/comment/expire/quota/uclass は BSD 系のみ、vhid は FreeBSD の CARP 関連フィールド)。このサンドボックス(Linux)には無いだけで、対象 OS では存在しうる。aggregate.rb の PLATFORM_CLASSES(Socket/Etc の `::` 定数)と同種の環境要因。実測: Etc::Passwd.members(またはinstance_methods) に quota= が含まれない / 元判定: Etc::Passwd は存在するが quota= はどの形(instance/singleton/const)でも存在しない / 4.0でも同様に not-found(Etc::Passwd は存在するが quota= はどの形(instance/singleton/const)でも存在しない)
