matrix	gem:matrix	0.4.2	https://github.com/ruby/matrix	
minitest/autorun	gem:minitest	5.25.1	https://github.com/seattlerb/minitest	
minitest/mock	gem:minitest	5.25.1	https://github.com/seattlerb/minitest	
minitest/spec	gem:minitest	5.25.1	https://github.com/seattlerb/minitest	
minitest/unit	gem:minitest	5.25.1	https://github.com/seattlerb/minitest	
net/ftp	gem:net-ftp	0.2.1	https://github.com/ruby/net-ftp	
net/imap	gem:net-imap	0.3.9	https://github.com/ruby/net-imap	
net/pop	gem:net-pop	0.1.2	https://github.com/ruby/net-pop	
net/smtp	gem:net-smtp	0.3.4	https://github.com/ruby/net-smtp	
power_assert	gem:power_assert	2.0.3	https://github.com/ruby/power_assert	
prime	gem:prime	0.1.2	https://github.com/ruby/prime	
rake	gem:rake	13.0.6	https://github.com/ruby/rake	
rake/classic_namespace	gem:rake	13.0.6	https://github.com/ruby/rake	
rake/clean	gem:rake	13.0.6	https://github.com/ruby/rake	
rake/gempackagetask	gem:rake	13.0.6	https://github.com/ruby/rake	
rake/loaders/makefile	gem:rake	13.0.6	https://github.com/ruby/rake	
rake/packagetask	gem:rake	13.0.6	https://github.com/ruby/rake	
rake/rake_test_loader	gem:rake	13.0.6	https://github.com/ruby/rake	
rake/rdoctask	gem:rake	13.0.6	https://github.com/ruby/rake	
rake/runtest	gem:rake	13.0.6	https://github.com/ruby/rake	
rake/tasklib	gem:rake	13.0.6	https://github.com/ruby/rake	
rake/testtask	gem:rake	13.0.6	https://github.com/ruby/rake	
rexml	gem:rexml	3.4.4	https://github.com/ruby/rexml	
rexml/document	gem:rexml	3.4.4	https://github.com/ruby/rexml	
rexml/parsers/pullparser	gem:rexml	3.4.4	https://github.com/ruby/rexml	
rexml/parsers/sax2parser	gem:rexml	3.4.4	https://github.com/ruby/rexml	
rexml/parsers/streamparser	gem:rexml	3.4.4	https://github.com/ruby/rexml	
rexml/parsers/ultralightparser	gem:rexml	3.4.4	https://github.com/ruby/rexml	
rexml/sax2listener	gem:rexml	3.4.4	https://github.com/ruby/rexml	
rexml/streamlistener	gem:rexml	3.4.4	https://github.com/ruby/rexml	
rss	gem:rss	0.3.1	https://github.com/ruby/rss	
test/unit	gem:test-unit	3.5.7	https://github.com/test-unit/test-unit	
