abbrev	gem:abbrev	0.1.2	https://github.com/ruby/abbrev	
base64	gem:base64	0.3.0	https://github.com/ruby/base64	
benchmark	gem:benchmark	0.5.0	https://github.com/ruby/benchmark	
bigdecimal	gem:bigdecimal	4.1.2	https://github.com/ruby/bigdecimal	
bigdecimal/jacobian	gem:bigdecimal	4.1.2	https://github.com/ruby/bigdecimal	
bigdecimal/ludcmp	gem:bigdecimal	4.1.2	https://github.com/ruby/bigdecimal	
bigdecimal/math	gem:bigdecimal	4.1.2	https://github.com/ruby/bigdecimal	
bigdecimal/newton	gem:bigdecimal	4.1.2	https://github.com/ruby/bigdecimal	
bigdecimal/util	gem:bigdecimal	4.1.2	https://github.com/ruby/bigdecimal	
cgi/cookie	NOGEM			
cgi/core	NOGEM			
cgi/html	NOGEM			
cgi/session	NOGEM			
cgi/session/pstore	NOGEM			
csv	gem:csv	3.3.6	https://github.com/ruby/csv	
drb	gem:drb	2.2.3	https://github.com/ruby/drb	
drb/acl	gem:drb	2.2.3	https://github.com/ruby/drb	
drb/extserv	gem:drb	2.2.3	https://github.com/ruby/drb	
drb/extservm	gem:drb	2.2.3	https://github.com/ruby/drb	
drb/gw	gem:drb	2.2.3	https://github.com/ruby/drb	
drb/observer	gem:drb	2.2.3	https://github.com/ruby/drb	
drb/ssl	gem:drb	2.2.3	https://github.com/ruby/drb	
drb/timeridconv	gem:drb	2.2.3	https://github.com/ruby/drb	
drb/unix	gem:drb	2.2.3	https://github.com/ruby/drb	
fiddle	gem:fiddle	1.1.8	https://github.com/ruby/fiddle	
fiddle/import	gem:fiddle	1.1.8	https://github.com/ruby/fiddle	
fiddle/types	gem:fiddle	1.1.8	https://github.com/ruby/fiddle	
getoptlong	gem:getoptlong	0.2.1	https://github.com/ruby/getoptlong	
io/console/size	NOGEM			
irb	gem:irb	1.18.0	https://github.com/ruby/irb	ac42eaaa88e6399384c1a56cc948c4b2528a9cc2
irb/cmd/nop	gem:irb	1.18.0	https://github.com/ruby/irb	ac42eaaa88e6399384c1a56cc948c4b2528a9cc2
irb/color	gem:irb	1.18.0	https://github.com/ruby/irb	ac42eaaa88e6399384c1a56cc948c4b2528a9cc2
