name	verdict	where
English	yes	lib
abbrev	yes	gem:abbrev@v0.1.2
base64	yes	gem:base64@v0.3.0
benchmark	yes	gem:benchmark@v0.5.0
bigdecimal	yes	gem:bigdecimal@v4.1.2
bigdecimal/jacobian	yes	gem:bigdecimal@v4.1.2
bigdecimal/ludcmp	yes	gem:bigdecimal@v4.1.2
bigdecimal/math	yes	gem:bigdecimal@v4.1.2
bigdecimal/newton	yes	gem:bigdecimal@v4.1.2
bigdecimal/util	yes	gem:bigdecimal@v4.1.2
cgi	yes	lib
cgi/cookie	no	none
cgi/core	no	none
cgi/html	no	none
cgi/session	no	none
cgi/session/pstore	no	none
cgi/util	yes	lib
continuation	yes	ext
coverage	yes	ext
csv	yes	gem:csv@v3.3.6
date	yes	ext
delegate	yes	lib
did_you_mean	yes	lib
digest	yes	ext
digest/bubblebabble	yes	ext
digest/md5	yes	ext
digest/rmd160	yes	ext
digest/sha1	yes	ext
digest/sha2	yes	ext
drb	yes	gem:drb@v2.2.3
drb/acl	yes	gem:drb@v2.2.3
drb/extserv	yes	gem:drb@v2.2.3
drb/extservm	yes	gem:drb@v2.2.3
drb/gw	yes	gem:drb@v2.2.3
drb/observer	yes	gem:drb@v2.2.3
drb/ssl	yes	gem:drb@v2.2.3
drb/timeridconv	yes	gem:drb@v2.2.3
drb/unix	yes	gem:drb@v2.2.3
erb	yes	lib
etc	yes	ext
expect	yes	ext
fcntl	yes	ext
fiddle	yes	gem:fiddle@v1.1.8
fiddle/import	yes	gem:fiddle@v1.1.8
fiddle/types	yes	gem:fiddle@v1.1.8
fileutils	yes	lib
find	yes	lib
forwardable	yes	lib
getoptlong	yes	gem:getoptlong@v0.2.1
io/console	yes	ext
io/console/size	yes	ext:io/console/lib/console/size.rb (ext/<name>/lib/ maps to lib/io/<rest>)
io/nonblock	yes	ext
io/wait	yes	ext
ipaddr	yes	lib
irb	yes	gem:irb@ac42eaaa88e6399384c1a56cc948c4b2528a9cc2(explicit-rev)
irb/cmd/nop	yes	gem:irb@ac42eaaa88e6399384c1a56cc948c4b2528a9cc2(explicit-rev)
irb/color	yes	gem:irb@ac42eaaa88e6399384c1a56cc948c4b2528a9cc2(explicit-rev)
irb/completion	yes	gem:irb@ac42eaaa88e6399384c1a56cc948c4b2528a9cc2(explicit-rev)
irb/context	yes	gem:irb@ac42eaaa88e6399384c1a56cc948c4b2528a9cc2(explicit-rev)
irb/debug	yes	gem:irb@ac42eaaa88e6399384c1a56cc948c4b2528a9cc2(explicit-rev)
irb/default_commands	yes	gem:irb@ac42eaaa88e6399384c1a56cc948c4b2528a9cc2(explicit-rev)
irb/easter-egg	yes	gem:irb@ac42eaaa88e6399384c1a56cc948c4b2528a9cc2(explicit-rev)
irb/ext/change-ws	yes	gem:irb@ac42eaaa88e6399384c1a56cc948c4b2528a9cc2(explicit-rev)
irb/ext/eval_history	yes	gem:irb@ac42eaaa88e6399384c1a56cc948c4b2528a9cc2(explicit-rev)
irb/ext/loader	yes	gem:irb@ac42eaaa88e6399384c1a56cc948c4b2528a9cc2(explicit-rev)
irb/ext/multi-irb	yes	gem:irb@ac42eaaa88e6399384c1a56cc948c4b2528a9cc2(explicit-rev)
irb/ext/tracer	yes	gem:irb@ac42eaaa88e6399384c1a56cc948c4b2528a9cc2(explicit-rev)
irb/ext/use-loader	yes	gem:irb@ac42eaaa88e6399384c1a56cc948c4b2528a9cc2(explicit-rev)
irb/ext/workspaces	yes	gem:irb@ac42eaaa88e6399384c1a56cc948c4b2528a9cc2(explicit-rev)
irb/frame	yes	gem:irb@ac42eaaa88e6399384c1a56cc948c4b2528a9cc2(explicit-rev)
irb/help	yes	gem:irb@ac42eaaa88e6399384c1a56cc948c4b2528a9cc2(explicit-rev)
irb/history	yes	gem:irb@ac42eaaa88e6399384c1a56cc948c4b2528a9cc2(explicit-rev)
irb/init	yes	gem:irb@ac42eaaa88e6399384c1a56cc948c4b2528a9cc2(explicit-rev)
irb/input-method	yes	gem:irb@ac42eaaa88e6399384c1a56cc948c4b2528a9cc2(explicit-rev)
irb/inspector	yes	gem:irb@ac42eaaa88e6399384c1a56cc948c4b2528a9cc2(explicit-rev)
irb/locale	yes	gem:irb@ac42eaaa88e6399384c1a56cc948c4b2528a9cc2(explicit-rev)
irb/notifier	yes	gem:irb@ac42eaaa88e6399384c1a56cc948c4b2528a9cc2(explicit-rev)
irb/output-method	yes	gem:irb@ac42eaaa88e6399384c1a56cc948c4b2528a9cc2(explicit-rev)
irb/pager	yes	gem:irb@ac42eaaa88e6399384c1a56cc948c4b2528a9cc2(explicit-rev)
irb/ruby-lex	yes	gem:irb@ac42eaaa88e6399384c1a56cc948c4b2528a9cc2(explicit-rev)
irb/startup_message	yes	gem:irb@ac42eaaa88e6399384c1a56cc948c4b2528a9cc2(explicit-rev)
irb/statement	yes	gem:irb@ac42eaaa88e6399384c1a56cc948c4b2528a9cc2(explicit-rev)
irb/version	yes	gem:irb@ac42eaaa88e6399384c1a56cc948c4b2528a9cc2(explicit-rev)
irb/workspace	yes	gem:irb@ac42eaaa88e6399384c1a56cc948c4b2528a9cc2(explicit-rev)
irb/ws-for-case-2	yes	gem:irb@ac42eaaa88e6399384c1a56cc948c4b2528a9cc2(explicit-rev)
irb/xmp	yes	gem:irb@ac42eaaa88e6399384c1a56cc948c4b2528a9cc2(explicit-rev)
json	yes	ext
json/add/bigdecimal	no	none
json/add/complex	no	none
json/add/core	no	none
json/add/date	no	none
json/add/date_time	no	none
json/add/exception	no	none
json/add/ostruct	no	none
json/add/range	no	none
json/add/rational	no	none
json/add/regexp	no	none
json/add/struct	no	none
json/add/symbol	no	none
json/add/time	no	none
json/editor	no	none
kconv	yes	gem:nkf@v0.3.0 (lib/kconv.rb ships alongside nkf.rb, name doesn't match gem name)
logger	yes	gem:logger@v1.7.0
