name	verdict	where
minitest/autorun	yes	gem:minitest@5.14.2
minitest/mock	yes	gem:minitest@5.14.2
minitest/spec	yes	gem:minitest@5.14.2
minitest/unit	yes	gem:minitest@5.14.2
power_assert	yes	gem:power_assert@1.2.1
rake	yes	gem:rake@13.0.3
rake/classic_namespace	no	gem:rake@13.0.3(checked,missing:lib/rake/classic_namespace.rb)
rake/clean	yes	gem:rake@13.0.3
rake/gempackagetask	no	gem:rake@13.0.3(checked,missing:lib/rake/gempackagetask.rb)
rake/loaders/makefile	yes	gem:rake@13.0.3
rake/packagetask	yes	gem:rake@13.0.3
rake/rake_test_loader	yes	gem:rake@13.0.3
rake/rdoctask	no	gem:rake@13.0.3(checked,missing:lib/rake/rdoctask.rb)
rake/runtest	no	gem:rake@13.0.3(checked,missing:lib/rake/runtest.rb)
rake/tasklib	yes	gem:rake@13.0.3
rake/testtask	yes	gem:rake@13.0.3
rexml	yes	gem:rexml@3.2.5
rexml/document	yes	gem:rexml@3.2.5
rexml/parsers/pullparser	yes	gem:rexml@3.2.5
rexml/parsers/sax2parser	yes	gem:rexml@3.2.5
rexml/parsers/streamparser	yes	gem:rexml@3.2.5
rexml/parsers/ultralightparser	yes	gem:rexml@3.2.5
rexml/sax2listener	yes	gem:rexml@3.2.5
rexml/streamlistener	yes	gem:rexml@3.2.5
rss	yes	gem:rss@0.2.9
test/unit	yes	gem:test-unit@3.3.7
