unit	3.0	3.1	3.2	3.3	3.4	4.0	4.1
abbrev	Do	Do	Do	Do	Bo	Bo	Bo
base64	Do	Do	Do	Do	Bo	Bo	Bo
benchmark	Do	Do	Do	Do	Do	Bo	Bo
bigdecimal	Do	Do	Do	Do	Bo	Bo	Bo
bundler	D.	D.	D.	D.	D.	D.	D.
cgi	Do	Do	Do	Do	Do	Lo	Lo
cmath	..	..	..	..	..	..	..
continuation	Eo	Eo	Eo	Eo	Eo	Eo	Eo
coverage	Eo	Eo	Eo	Eo	Eo	Eo	Eo
csv	Do	Do	Do	Do	Bo	Bo	Bo
date	Do	Do	Do	Do	Do	Do	Do
dbm	Do	..	..	..	..	..	..
debug	Do	Bo	Bo	Bo	Bo	Bo	Bo
delegate	Do	Do	Do	Do	Do	Do	Do
did_you_mean	Do	Do	Do	Do	Do	Do	Do
digest	Do	Do	Do	Do	Do	Do	Do
drb	Do	Do	Do	Do	Bo	Bo	Bo
e2mmap	..	..	..	..	..	..	..
english	Do	Do	Do	Do	Do	Do	Do
erb	Do	Do	Do	Do	Do	Do	Do
error_highlight	..	..	D.	D.	D.	D.	D.
etc	Do	Do	Do	Do	Do	Do	Do
fcntl	Do	Do	Do	Do	Do	Do	Do
fiber	Eo	..	..	..	..	..	..
fiddle	Do	Do	Do	Do	Do	Bo	Bo
fileutils	Do	Do	Do	Do	Do	Do	Do
find	Do	Do	Do	Do	Do	Do	Do
forwardable	Do	Do	Do	Do	Do	Do	Do
gdbm	Do	..	..	..	..	..	..
getoptlong	Do	Do	Do	Do	Bo	Bo	Bo
io/console	Do	Do	Do	Do	Do	Do	Do
io/nonblock	Do	Do	Do	Do	Do	Do	Do
io/wait	Do	Do	Do	Do	Do	Do	Do
ipaddr	Do	Do	Do	Do	Do	Do	Do
irb	Do	Do	Do	Do	Do	Bo	Bo
json	Do	Do	Do	Do	Do	Do	Do
logger	Do	Do	Do	Do	Do	Bo	Bo
mathn	..	..	..	..	..	..	..
matrix	Do	Bo	Bo	Bo	Bo	Bo	Bo
minitest	Bo	Bo	Bo	Bo	Bo	Bo	Bo
mkmf	Lo	Lo	Lo	Lo	Lo	Lo	Lo
monitor	Eo	Eo	Eo	Eo	Eo	Eo	Eo
mutex_m	Do	Do	Do	Do	Bo	Bo	Bo
net/ftp	Do	Bo	Bo	Bo	Bo	Bo	.o
net/http	Do	Do	Do	Do	Do	Do	Do
net/imap	Do	Bo	Bo	Bo	Bo	Bo	Bo
net/pop	Do	Bo	Bo	Bo	Bo	Bo	.o
net/protocol	Do	Do	Do	Do	Do	Do	Do
net/smtp	Do	Bo	Bo	Bo	Bo	Bo	Bo
net/telnet	.o	.o	.o	.o	.o	.o	.o
nkf	Do	Do	Do	Do	Bo	Bo	Bo
objspace	Eo	Eo	Eo	Eo	Eo	Eo	Eo
observer	Do	Do	Do	Do	Bo	Bo	Bo
open-uri	Do	Do	Do	Do	Do	Do	Do
open3	Do	Do	Do	Do	Do	Do	Do
openssl	Do	Do	Do	Do	Do	Do	Do
optparse	Do	Do	Do	Do	Do	Do	Do
ostruct	Do	Do	Do	Do	Do	Bo	Bo
pathname	Do	Do	Do	Do	Do	Do	Lo
power_assert	Bo	Bo	Bo	Bo	Bo	Bo	Bo
pp	Do	Do	Do	Do	Do	Do	Do
prettyprint	Do	Do	Do	Do	Do	Do	Do
prime	Do	Bo	Bo	Bo	Bo	Bo	Bo
prism	..	..	..	Do	Do	Do	Do
profile	..	..	..	..	..	..	..
profiler	..	..	..	..	..	..	..
pstore	Do	Do	Do	Do	Do	Bo	Bo
psych	Do	Do	Do	Do	Do	Do	Do
pty	Eo	Eo	Eo	Eo	Eo	Eo	Eo
racc	Do	Do	Do	Bo	Bo	Bo	Bo
rake	Bo	Bo	Bo	Bo	Bo	Bo	Bo
rbconfig	Lo	Lo	Lo	Lo	Lo	Lo	Lo
rbs	B.	B.	B.	B.	B.	B.	B.
rdoc	Do	Do	Do	Do	Do	Bo	Bo
readline	Do	Do	Do	Do	Do	Bo	Bo
reline	Do	Do	Do	Do	Do	Bo	Bo
