bucket	lib	class	type	name	3.03.13.23.33.44.0
new-only-ng	English	Kernel	$	IGNORECASE	oooXXX
new-only-ng	bigdecimal	BigDecimal	#	precs	ooooXX
new-only-ng	cgi/util	CGI	::	RFC822_DAYS	oXXXXX
new-only-ng	cgi/util	CGI	::	RFC822_MONTHS	oXXXXX
new-only-ng	io/wait	IO	#	nread	oooooX
new-only-ng	io/wait	IO	#	ready?	oooooX
new-only-ng	irb	IRB	.	irb_at_exit	oooXXX
new-only-ng	irb/cmd/nop	IRB::ExtendCommand::Nop	#	execute	oooCCC
new-only-ng	irb/cmd/nop	IRB::ExtendCommand::Nop	.	execute	oooCCC
new-only-ng	irb/cmd/nop	IRB::ExtendCommand::Nop	#	irb_context	oooCCC
new-only-ng	irb/cmd/nop	IRB::ExtendCommand::Nop	.	new	oooCCC
new-only-ng	irb/context	IRB::Context	#	workspace=	orrXXX
new-only-ng	irb/ext/tracer	IRB::Context	#	use_tracer=	rooCCC
new-only-ng	irb/input-method	IRB	::	STDIN_FILE_NAME	oooXXX
new-only-ng	irb/input-method	IRB::InputMethod	#	file_name	oooXXX
new-only-ng	json	Class	#	json_creatable?	ooooXX
new-only-ng	net/imap	Net::IMAP	#	client_thread	ooroXX
new-only-ng	net/imap	Net::IMAP	#	client_thread=	oorXXX
new-only-ng	net/imap	Net::IMAP	.	max_flag_count	oXrXXX
new-only-ng	net/imap	Net::IMAP	.	max_flag_count=	oXrXXX
new-only-ng	net/smtp	Net::SMTP	::	Revision	oooXXX
new-only-ng	net/smtp	Net::SMTP	#	auth_cram_md5	oooXXX
new-only-ng	net/smtp	Net::SMTP	#	auth_login	oooXXX
new-only-ng	net/smtp	Net::SMTP	#	auth_plain	oooXXX
new-only-ng	openssl	OpenSSL::Config	#	[]=	oXXXXX
new-only-ng	openssl	OpenSSL::Config	#	add_value	oXXXXX
new-only-ng	openssl	OpenSSL::Config	#	section	oXXXXX
new-only-ng	openssl	OpenSSL::Config	#	value	oXXXXX
new-only-ng	openssl	OpenSSL::Engine	::	METHOD_ALL	oCCCCC
new-only-ng	openssl	OpenSSL::Engine	::	METHOD_CIPHERS	oCCCCC
new-only-ng	openssl	OpenSSL::Engine	::	METHOD_DH	oCCCCC
new-only-ng	openssl	OpenSSL::Engine	::	METHOD_DIGESTS	oCCCCC
new-only-ng	openssl	OpenSSL::Engine	::	METHOD_DSA	oCCCCC
new-only-ng	openssl	OpenSSL::Engine	::	METHOD_NONE	oCCCCC
new-only-ng	openssl	OpenSSL::Engine	::	METHOD_RAND	oCCCCC
new-only-ng	openssl	OpenSSL::Engine	::	METHOD_RSA	oCCCCC
new-only-ng	openssl	OpenSSL::Engine	.	by_id	oCCCCC
new-only-ng	openssl	OpenSSL::Engine	#	cipher	oCCCCC
new-only-ng	openssl	OpenSSL::Engine	.	cleanup	oCCCCC
new-only-ng	openssl	OpenSSL::Engine	#	cmds	oCCCCC
new-only-ng	openssl	OpenSSL::Engine	#	ctrl_cmd	oCCCCC
new-only-ng	openssl	OpenSSL::Engine	#	digest	oCCCCC
new-only-ng	openssl	OpenSSL::Engine	.	engines	oCCCCC
new-only-ng	openssl	OpenSSL::Engine	#	finish	oCCCCC
new-only-ng	openssl	OpenSSL::Engine	#	id	oCCCCC
new-only-ng	openssl	OpenSSL::Engine	.	load	oCCCCC
new-only-ng	openssl	OpenSSL::Engine	#	load_private_key	oCCCCC
new-only-ng	openssl	OpenSSL::Engine	#	load_public_key	oCCCCC
new-only-ng	openssl	OpenSSL::Engine	#	name	oCCCCC
new-only-ng	openssl	OpenSSL::Engine	#	set_default	oCCCCC
new-only-ng	pathname	Pathname	::	TO_PATH	oooooX
