lib	scope	class	typemark	name	dbkind	category
_builtin	builtin	Class	#	_load	defined	EXCESS(no-method)
_builtin	builtin	Data	.	[]	defined	EXCESS(no-method)
_builtin	builtin	Data	.	members	defined	EXCESS(no-method)
_builtin	builtin	Data	.	new	defined	EXCESS(no-method)
_builtin	builtin	IO::Buffer	::	LOCKED	defined	EXCESS(no-method)
_builtin	builtin	Numeric	#	/	defined	EXCESS(no-method)
_builtin	builtin	Object	#	_dump	defined	EXCESS(no-method)
_builtin	builtin	Object	#	marshal_dump	defined	EXCESS(no-method)
_builtin	builtin	Object	#	marshal_load	defined	EXCESS(no-method)
_builtin	builtin	Object	::	DATA	defined	EXCESS(no-method)
_builtin	builtin	Object	::	SCRIPT_LINES__	defined	EXCESS(no-method)
_builtin	builtin	ObjectSpace	.#	_id2ref	defined	EXCESS(no-method)
_builtin	builtin	Process::Sys	.#	issetugid	defined	EXCESS(no-method)
_builtin	builtin	Process::Sys	.#	setrgid	defined	EXCESS(no-method)
_builtin	builtin	Process::Sys	.#	setruid	defined	EXCESS(no-method)
_builtin	builtin	Random::Formatter	#	alphanumeric	defined	EXCESS(no-method)
_builtin	builtin	Struct	.	[]	defined	EXCESS(no-method)
_builtin	builtin	Struct	.	keyword_init?	defined	EXCESS(no-method)
_builtin	builtin	Struct	.	members	defined	EXCESS(no-method)
_builtin	builtin	Thread	.	DEBUG	defined	EXCESS(no-method)
_builtin	builtin	Thread	.	DEBUG=	defined	EXCESS(no-method)
bigdecimal	bundled	BigDecimal	#	precs	defined	EXCESS(no-method)
cgi/util	stdlib	CGI	::	RFC822_DAYS	defined	EXCESS(no-method)
cgi/util	stdlib	CGI	::	RFC822_MONTHS	defined	EXCESS(no-method)
date	stdlib	DateTime	.	today	defined	EXCESS(no-method)
etc	stdlib	Etc::Passwd	#	age	defined	EXCESS(no-method)
etc	stdlib	Etc::Passwd	#	age=	defined	EXCESS(no-method)
etc	stdlib	Etc::Passwd	#	change	defined	EXCESS(no-method)
etc	stdlib	Etc::Passwd	#	change=	defined	EXCESS(no-method)
etc	stdlib	Etc::Passwd	#	comment	defined	EXCESS(no-method)
etc	stdlib	Etc::Passwd	#	comment=	defined	EXCESS(no-method)
etc	stdlib	Etc::Passwd	#	expire	defined	EXCESS(no-method)
etc	stdlib	Etc::Passwd	#	expire=	defined	EXCESS(no-method)
etc	stdlib	Etc::Passwd	#	quota	defined	EXCESS(no-method)
etc	stdlib	Etc::Passwd	#	quota=	defined	EXCESS(no-method)
etc	stdlib	Etc::Passwd	#	uclass	defined	EXCESS(no-method)
etc	stdlib	Etc::Passwd	#	uclass=	defined	EXCESS(no-method)
fiddle	bundled	Fiddle	.	win32_last_error	defined	EXCESS(no-method)
fiddle	bundled	Fiddle	.	win32_last_error=	defined	EXCESS(no-method)
fiddle	bundled	Fiddle::Function	::	STDCALL	defined	EXCESS(no-method)
fiddle/import	bundled	Fiddle::CStruct	#	to_i	defined	EXCESS(no-method)
fiddle/import	bundled	Fiddle::CStruct	#	to_ptr	defined	EXCESS(no-method)
fiddle/import	bundled	Fiddle::CStruct	.	malloc	defined	EXCESS(no-method)
fiddle/import	bundled	Fiddle::CStruct	.	size	defined	EXCESS(no-method)
io/wait	stdlib	IO	#	nread	added	EXCESS(no-method)
io/wait	stdlib	IO	#	ready?	added	EXCESS(no-method)
irb	bundled	IRB	.	irb_at_exit	defined	EXCESS(no-method)
irb/context	bundled	IRB::Context	#	debug?	defined	EXCESS(no-method)
irb/context	bundled	IRB::Context	#	debug_level	defined	EXCESS(no-method)
irb/context	bundled	IRB::Context	#	debug_level=	defined	EXCESS(no-method)
irb/context	bundled	IRB::Context	#	workspace=	defined	EXCESS(no-method)
irb/ext/tracer	bundled	IRB::Context	#	use_tracer	added	EXCESS(no-class)
irb/ext/tracer	bundled	IRB::Context	#	use_tracer=	added	EXCESS(no-class)
irb/ext/tracer	bundled	IRB::Context	#	use_tracer?	added	EXCESS(no-class)
irb/input-method	bundled	IRB	::	STDIN_FILE_NAME	added	EXCESS(no-method)
irb/input-method	bundled	IRB::InputMethod	#	file_name	defined	EXCESS(no-method)
irb/input-method	bundled	IRB::InputMethod	#	readable_atfer_eof?	defined	EXCESS(no-method)
irb/input-method	bundled	IRB::ReadlineInputMethod	#	readable_atfer_eof?	defined	EXCESS(no-method)
irb/input-method	bundled	IRB::StdioInputMethod	#	readable_atfer_eof?	defined	EXCESS(no-method)
json	stdlib	Class	#	json_creatable?	added	EXCESS(no-method)
json	stdlib	JSON	.	create_id	defined	EXCESS(no-method)
json	stdlib	JSON	.	create_id=	defined	EXCESS(no-method)
json	stdlib	JSON	.#	fast_generate	defined	EXCESS(no-method)
json	stdlib	JSON	.#	fast_unparse	defined	EXCESS(no-method)
json	stdlib	JSON	.#	pretty_unparse	defined	EXCESS(no-method)
json	stdlib	JSON	.#	restore	defined	EXCESS(no-method)
json	stdlib	JSON	.#	unparse	defined	EXCESS(no-method)
json	stdlib	JSON	::	JSON_LOADED	defined	EXCESS(no-method)
json	stdlib	JSON::Ext::Generator::GeneratorMethods::Array	#	to_json	defined	EXCESS(no-class)
json	stdlib	JSON::Ext::Generator::GeneratorMethods::FalseClass	#	to_json	defined	EXCESS(no-class)
json	stdlib	JSON::Ext::Generator::GeneratorMethods::Float	#	to_json	defined	EXCESS(no-class)
json	stdlib	JSON::Ext::Generator::GeneratorMethods::Hash	#	to_json	defined	EXCESS(no-class)
json	stdlib	JSON::Ext::Generator::GeneratorMethods::Integer	#	to_json	defined	EXCESS(no-class)
json	stdlib	JSON::Ext::Generator::GeneratorMethods::NilClass	#	to_json	defined	EXCESS(no-class)
json	stdlib	JSON::Ext::Generator::GeneratorMethods::Object	#	to_json	defined	EXCESS(no-class)
json	stdlib	JSON::Ext::Generator::GeneratorMethods::String	#	to_json	defined	EXCESS(no-class)
json	stdlib	JSON::Ext::Generator::GeneratorMethods::String	#	to_json_raw	defined	EXCESS(no-class)
json	stdlib	JSON::Ext::Generator::GeneratorMethods::String	#	to_json_raw_object	defined	EXCESS(no-class)
json	stdlib	JSON::Ext::Generator::GeneratorMethods::TrueClass	#	to_json	defined	EXCESS(no-class)
json	stdlib	JSON::State	#	[]	defined	EXCESS(no-method)
json	stdlib	JSON::State	#	[]=	defined	EXCESS(no-method)
json	stdlib	Kernel	#	j	added	EXCESS(no-method)
json	stdlib	Kernel	#	jj	added	EXCESS(no-method)
json/add/bigdecimal	stdlib	BigDecimal	#	to_json	added	unmeasured(require-failed)
json/add/bigdecimal	stdlib	BigDecimal	.	json_create	added	unmeasured(require-failed)
json/add/complex	stdlib	Complex	#	to_json	added	unmeasured(require-failed)
json/add/complex	stdlib	Complex	.	json_create	added	unmeasured(require-failed)
json/add/date	stdlib	Date	#	to_json	added	unmeasured(require-failed)
json/add/date	stdlib	Date	.	json_create	added	unmeasured(require-failed)
json/add/date_time	stdlib	DateTime	#	to_json	added	unmeasured(require-failed)
json/add/date_time	stdlib	DateTime	.	json_create	added	unmeasured(require-failed)
json/add/exception	stdlib	Exception	#	to_json	added	unmeasured(require-failed)
json/add/exception	stdlib	Exception	.	json_create	added	unmeasured(require-failed)
