lib	scope	unit_kind	doc_methods	measured	excess_method	excess_const	undoc	undoc_class_stub	undoc_class_undoc	undoc_priv	alias_of_doc	doc_on_ancestor	doc_on_descendant	nomethod_conflict
?	stale-lib	.	0	-	0	0	0	0	5	0	0	0	0	0
English	stdlib	D	0	yes	0	0	0	0	0	0	0	0	0	0
_builtin	builtin	core	2255	yes	18	3	55	0	34	32	19	110	4	0
abbrev	bundled	B	2	yes	0	0	0	0	0	0	0	0	0	0
base64	bundled	B	6	yes	0	0	0	0	0	0	0	0	0	0
benchmark	bundled	B	32	yes	0	0	3	0	0	1	0	1	0	0
bigdecimal	bundled	B	64	yes	1	0	27	0	8	41	0	0	0	0
bigdecimal/jacobian	bundled	B	3	yes	0	0	0	0	0	0	0	0	0	0
bigdecimal/ludcmp	bundled	B	2	yes	0	0	0	0	0	0	0	0	0	0
bigdecimal/math	bundled	B	6	yes	0	0	0	0	0	0	0	0	0	0
bigdecimal/newton	bundled	B	2	yes	0	0	0	0	0	0	0	0	0	0
bigdecimal/util	bundled	B	7	yes	0	0	1	0	0	0	0	0	0	0
bundled_gems	undoc-lib	.	0	-	0	0	0	0	6	0	0	1	0	0
bundler	stdlib(no-method-docs)	D	0	yes	0	0	0	0	4011	495	0	210	0	0
bundler/vendor/fileutils/lib/fileutils	vendored	D	0	-	0	0	0	0	225	214	0	3	0	0
cgi	stdlib(no-method-docs)	L	0	yes	0	0	0	0	4	0	0	0	0	0
cgi/util	stdlib	L	12	yes	0	2	0	0	0	0	0	0	0	0
continuation	stdlib	E	3	yes	0	0	0	0	0	0	0	0	0	0
coverage	stdlib	E	5	yes	0	0	5	0	0	8	0	0	0	0
csv	bundled	B	135	yes	0	0	13	2	46	67	1	18	0	0
date	stdlib	D	133	yes	1	0	2	0	3	1	0	17	5	0
debug	bundled	B	0	skipped	0	0	0	0	0	0	0	0	0	0
delegate	stdlib	D	18	yes	0	0	3	0	0	4	0	0	0	0
did_you_mean	stdlib(no-method-docs)	D	0	yes	0	0	0	0	46	15	0	9	0	0
digest	stdlib	D	25	yes	0	0	1	8	0	2	0	2	16	0
digest/bubblebabble	stdlib	D	1	yes	0	0	0	0	0	0	0	0	0	0
digest/md5	stdlib	D	0	yes	0	0	0	0	0	0	0	0	0	0
digest/rmd160	stdlib	D	0	yes	0	0	0	0	0	0	0	0	0	0
digest/sha1	stdlib	D	0	yes	0	0	0	0	0	0	0	0	0	0
digest/sha2	stdlib	D	3	yes	0	0	3	0	0	1	0	2	0	0
drb	bundled	B	42	yes	0	0	17	0	31	31	0	29	3	0
drb/acl	bundled	B	4	yes	0	0	0	0	3	2	0	2	0	0
drb/extserv	bundled	B	5	yes	0	0	0	0	0	0	0	0	0	0
drb/extservm	bundled	B	6	yes	0	0	4	0	0	3	0	0	0	0
drb/gw	bundled	B	3	yes	0	0	0	0	0	0	0	1	0	0
drb/observer	bundled(no-method-docs)	B	0	yes	0	0	0	0	0	0	0	1	0	0
drb/ssl	bundled(no-method-docs)	B	0	yes	0	0	0	0	11	0	0	3	0	0
drb/timeridconv	bundled	B	3	yes	0	0	0	0	2	4	0	1	0	0
drb/unix	bundled	B	6	yes	0	0	3	0	0	0	0	1	0	0
erb	stdlib	D	17	yes	0	0	5	0	42	6	0	6	1	0
error_highlight	stdlib(no-method-docs)	D	0	yes	0	0	0	0	8	2	0	0	0	0
etc	stdlib	D	56	yes	12	0	2	0	0	0	0	8	0	0
expect	stdlib	E	1	yes	0	0	0	0	0	0	0	0	0	0
fcntl	stdlib	D	0	yes	0	0	0	0	0	0	0	0	0	0
fiddle	bundled	B	71	yes	2	1	12	0	23	5	0	13	0	0
fiddle/import	bundled	B	16	yes	4	0	9	2	3	3	0	2	0	0
fiddle/types	bundled(no-method-docs)	B	0	yes	0	0	0	2	0	2	0	0	0	0
fileutils	stdlib	D	51	yes	0	0	2	3	31	79	0	233	0	0
find	stdlib	D	2	yes	0	0	0	0	0	0	0	0	0	0
forwardable	stdlib	D	14	yes	0	0	0	0	421	5	0	25	0	0
getoptlong	bundled	B	17	yes	0	0	0	0	0	0	0	0	0	0
io/console	stdlib	D	14	yes	0	0	24	0	3	0	0	1	0	0
io/console/size	stdlib	D	2	yes	0	0	0	0	0	0	0	0	0	0
io/nonblock	stdlib	D	3	yes	0	0	0	0	0	0	0	0	0	0
io/wait	stdlib	D	6	yes	2	0	0	0	0	0	0	0	0	0
ipaddr	stdlib	D	37	yes	0	0	17	0	0	7	0	0	0	0
irb	bundled	B	7	yes	1	0	13	26	114	29	0	8	0	0
irb/color	bundled(no-method-docs)	B	0	yes	0	0	0	0	5	2	0	0	0	0
irb/completion	bundled(no-method-docs)	B	0	yes	0	0	0	0	17	1	0	5	0	0
irb/context	bundled	B	64	yes	4	0	40	0	0	3	1	1	0	0
irb/debug	bundled(no-method-docs)	B	0	yes	0	0	0	0	2	2	0	0	0	0
irb/default_commands	bundled(no-method-docs)	B	0	yes	0	0	0	0	8	1	0	0	0	0
irb/easter-egg	bundled	B	0	yes	0	0	0	0	0	0	0	0	0	0
irb/ext/change-ws	bundled	B	0	yes	0	0	0	0	0	0	0	0	0	0
irb/ext/eval_history	bundled	B	2	yes	0	0	0	0	4	0	0	2	0	0
irb/ext/loader	bundled(no-method-docs)	B	0	yes	0	0	0	5	0	2	0	0	0	0
irb/ext/multi-irb	bundled	B	0	require-failed	0	0	0	0	0	0	0	0	0	0
irb/ext/tracer	bundled	B	3	yes	3	0	0	0	0	0	0	0	0	0
irb/ext/use-loader	bundled	B	3	yes	0	0	0	0	14	0	2	0	0	0
irb/ext/workspaces	bundled	B	0	yes	0	0	0	0	0	0	0	0	0	0
irb/frame	bundled	B	6	yes	0	0	0	0	0	0	0	3	0	0
irb/help	bundled	B	1	yes	0	0	0	0	0	0	0	0	0	0
irb/history	bundled(no-method-docs)	B	0	yes	0	0	0	0	8	1	0	0	0	0
irb/init	bundled	B	0	yes	0	0	0	0	0	0	0	0	0	0
irb/input-method	bundled	B	22	yes	4	1	28	0	0	0	0	7	0	0
irb/inspector	bundled	B	5	yes	0	0	1	0	0	0	0	1	0	0
irb/locale	bundled(no-method-docs)	B	0	yes	0	0	0	0	8	0	0	9	0	0
irb/notifier	bundled(no-method-docs)	B	0	yes	0	0	0	0	15	1	0	11	0	0
irb/output-method	bundled	B	6	yes	0	0	1	0	0	0	0	1	0	0
irb/pager	bundled(no-method-docs)	B	0	yes	0	0	0	0	10	2	0	3	0	0
irb/ruby-lex	bundled(no-method-docs)	B	0	yes	0	0	0	0	19	0	0	5	0	0
irb/startup_message	bundled(no-method-docs)	B	0	yes	0	0	0	0	1	5	0	0	0	0
irb/statement	bundled(no-method-docs)	B	0	yes	0	0	0	0	19	0	0	4	0	0
irb/version	bundled	B	0	yes	0	0	0	0	0	0	0	0	0	0
irb/workspace	bundled(no-method-docs)	B	0	yes	0	0	0	7	2	0	0	2	0	0
irb/ws-for-case-2	bundled	B	0	require-failed	0	0	0	0	0	0	0	0	0	0
irb/xmp	bundled	B	3	yes	0	0	0	0	2	0	0	3	0	0
json	stdlib	D	71	yes	23	1	4	45	15	7	0	14	1	0
json/add/bigdecimal	stdlib	D	2	require-failed	0	0	0	0	0	0	0	0	0	0
json/add/complex	stdlib	D	2	require-failed	0	0	0	0	0	0	0	0	0	0
json/add/core	stdlib	D	0	require-failed	0	0	0	0	0	0	0	0	0	0
json/add/date	stdlib	D	2	require-failed	0	0	0	0	0	0	0	0	0	0
json/add/date_time	stdlib	D	2	require-failed	0	0	0	0	0	0	0	0	0	0
json/add/exception	stdlib	D	2	require-failed	0	0	0	0	0	0	0	0	0	0
json/add/ostruct	stdlib	D	2	require-failed	0	0	0	0	0	0	0	0	0	0
json/add/range	stdlib	D	2	require-failed	0	0	0	0	0	0	0	0	0	0
json/add/rational	stdlib	D	2	require-failed	0	0	0	0	0	0	0	0	0	0
json/add/regexp	stdlib	D	2	require-failed	0	0	0	0	0	0	0	0	0	0
json/add/struct	stdlib	D	2	require-failed	0	0	0	0	0	0	0	0	0	0
json/add/symbol	stdlib	D	2	require-failed	0	0	0	0	0	0	0	0	0	0
json/add/time	stdlib	D	2	require-failed	0	0	0	0	0	0	0	0	0	0
kconv	bundled	B	25	yes	0	0	0	0	0	0	0	0	0	0
logger	bundled	B	34	yes	0	0	8	1	2	20	0	1	0	0
matrix	bundled	B	170	yes	0	0	10	0	9	20	4	16	0	0
minitest	bundled(no-page)	B	0	-	0	0	0	0	211	2	0	12	0	0
minitest/autorun	bundled(no-method-docs)	B	0	yes	0	0	0	0	5	0	0	4	0	0
minitest/spec	bundled(no-method-docs)	B	0	yes	0	0	1	0	53	2	0	0	0	0
mkmf	stdlib	L	52	yes	0	0	6	0	60	4	0	0	52	0
monitor	stdlib	E	29	yes	0	0	1	0	0	3	0	0	0	0
mutex_m	bundled	B	14	yes	5	0	2	0	0	2	0	0	0	0
net/http	stdlib	D	168	yes	2	0	49	0	7	50	2	10	0	0
net/https	stdlib	D	0	yes	0	0	0	0	0	0	0	0	0	0
net/imap	bundled	B	161	yes	0	0	44	8	482	386	1	92	1	0
net/protocol	stdlib(no-method-docs)	D	0	yes	0	0	0	2	27	16	0	15	0	0
net/smtp	bundled	B	54	yes	0	0	10	11	17	19	0	5	0	0
nkf	bundled	B	2	yes	0	0	0	0	0	0	0	0	0	0
objspace	stdlib	E	17	yes	0	0	6	0	2	12	0	1	0	0
observer	bundled	B	7	yes	0	0	0	0	0	0	0	0	0	0
open-uri	stdlib	D	11	yes	0	0	13	1	4	0	0	3	0	0
open3	stdlib	D	11	yes	0	0	0	0	0	4	0	0	0	0
openssl	stdlib	D	719	yes	49	8	133	9	11	33	0	51	1	0
optparse	stdlib	D	55	yes	0	0	28	17	32	11	4	9	0	0
optparse/date	stdlib	D	0	yes	0	0	0	0	0	0	0	0	0	0
optparse/shellwords	stdlib	D	0	yes	0	0	0	0	0	0	0	0	0	0
optparse/time	stdlib	D	0	yes	0	0	0	0	0	0	0	0	0	0
optparse/uri	stdlib	D	0	yes	0	0	0	0	0	0	0	0	0	0
ostruct	bundled	B	14	yes	2	0	38	0	0	7	8	6	0	0
pathname	stdlib	L	100	yes	0	2	2	0	0	11	0	2	0	0
power_assert	bundled(no-method-docs)	B	0	yes	0	0	0	0	5	2	0	0	0	0
pp	stdlib	D	13	yes	0	0	4	0	8	1	0	25	8	0
prettyprint	stdlib	D	13	yes	0	0	5	0	24	0	0	5	0	0
prime	bundled	B	32	yes	0	0	3	0	2	6	0	9	0	0
prism	stdlib	D	142	yes	2	0	41	0	2682	311	0	2043	1	0
pstore	bundled	B	15	yes	1	0	2	0	0	9	0	1	0	0
psych	stdlib	D	121	yes	1	0	74	2	78	45	0	41	1	0
pty	stdlib	E	5	yes	0	0	0	0	0	0	0	0	0	0
racc/parser	bundled	B	9	yes	0	0	9	0	0	8	0	0	0	0
rake	bundled	B	146	yes	3	0	207	1	88	51	2	89	2	0
rake/clean	bundled(no-method-docs)	B	0	yes	0	0	0	0	2	6	0	0	0	0
rake/loaders/makefile	bundled	B	1	yes	0	0	0	0	84	5	0	25	0	0
rake/packagetask	bundled	B	29	yes	0	0	7	0	0	0	0	0	0	0
rake/rake_test_loader	bundled	B	0	yes	0	0	0	0	0	0	0	0	0	0
rake/tasklib	bundled	B	0	yes	0	0	0	0	0	0	0	0	0	0
rake/testtask	bundled	B	19	yes	0	0	11	0	0	0	0	0	0	0
random/formatter	undoc-lib	.	0	-	0	0	7	0	0	2	0	0	0	0
rbconfig	stdlib	L	2	yes	0	0	1	0	0	0	0	0	0	0
rbconfig/sizeof	stdlib	L	0	yes	0	0	0	0	0	0	0	0	0	0
rbs	bundled(no-method-docs)	B	0	yes	0	0	0	0	1488	107	0	378	0	0
rdoc	bundled(no-method-docs)	B	0	yes	0	0	0	4	315	153	0	52	0	0
rdoc/code_object	bundled	B	19	yes	3	0	21	0	43	0	0	16	1	0
rdoc/code_object/alias	bundled(no-method-docs)	B	0	yes	0	0	0	10	0	0	0	4	0	0
rdoc/code_object/any_method	bundled(no-method-docs)	B	0	yes	0	0	0	22	0	2	0	3	0	0
rdoc/code_object/attr	bundled(no-method-docs)	B	0	yes	0	0	0	7	0	0	0	7	0	0
rdoc/code_object/class_module	bundled(no-method-docs)	B	0	yes	0	0	0	46	0	1	0	7	0	0
rdoc/code_object/constant	bundled(no-method-docs)	B	0	yes	0	0	0	15	0	0	0	9	0	0
rdoc/code_object/context	bundled	B	51	yes	7	1	66	0	0	0	1	5	1	0
rdoc/code_object/include	bundled	B	0	yes	0	0	0	0	0	0	0	0	0	0
rdoc/code_object/normal_class	bundled(no-method-docs)	B	0	yes	0	0	0	4	0	0	0	3	0	0
rdoc/code_object/normal_module	bundled(no-method-docs)	B	0	yes	0	0	0	4	0	0	0	2	0	0
rdoc/code_object/require	bundled(no-method-docs)	B	0	yes	0	0	0	3	0	0	0	3	0	0
rdoc/code_object/single_class	bundled(no-method-docs)	B	0	yes	0	0	0	3	0	0	0	1	0	0
rdoc/code_object/top_level	bundled	B	14	yes	9	0	18	0	0	0	1	13	0	0
rdoc/code_objects	bundled	B	0	yes	0	0	0	0	0	0	0	0	0	0
rdoc/generator	bundled(no-method-docs)	B	0	yes	0	0	0	0	15	19	0	8	0	0
rdoc/generator/darkfish	bundled	B	2	yes	0	2	41	0	0	2	0	1	0	0
rdoc/generator/json_index	bundled	B	2	yes	0	0	9	0	0	0	0	0	0	0
rdoc/generator/markup	bundled(no-method-docs)	B	0	yes	0	0	0	6	0	0	0	0	0	0
rdoc/generator/ri	bundled	B	2	yes	0	0	0	0	0	0	0	0	0	0
rdoc/known_classes	bundled	B	0	yes	0	0	0	0	0	0	0	0	0	0
rdoc/markdown	bundled	B	18	yes	6	0	52	0	53	256	1	5	0	0
rdoc/markdown/entities	bundled	B	0	yes	0	0	0	0	0	0	0	0	0	0
rdoc/markup	bundled	B	8	yes	6	3	3	0	192	7	0	43	0	0
rdoc/markup/formatter	bundled	B	3	yes	1	0	22	0	54	0	0	3	0	0
rdoc/markup/to_ansi	bundled	B	1	yes	0	0	7	0	0	0	0	0	0	0
