ver	lib	kind	class	typemark	name	info	libs
4.0	_builtin	class-only-in-full	RubyVM::YJIT	-	-	doc	_builtin
4.0	_builtin	class-only-in-full	RubyVM::ZJIT	-	-	UNDOC	_builtin
4.0	net/http	method-only-in-full	Resolv::DNS::Message	#	question_equal?	priv UNDOC	net/http,net/https,resolv,+1
4.0	net/http	method-only-in-full	Resolv::DNS::Resource::Generic	#	==	pub UNDOC	net/http,net/https,resolv,+1
4.0	net/http	method-only-in-full	Resolv::DNS::Resource::Generic	.	type_class_equal?	pub UNDOC	net/http,net/https,resolv,+1
4.0	_builtin	method-only-in-full	RubyVM::YJIT	.	_dump_locations	priv UNDOC	_builtin
4.0	_builtin	method-only-in-full	RubyVM::YJIT	.	_print_stats	priv UNDOC	_builtin
4.0	_builtin	method-only-in-full	RubyVM::YJIT	.	_print_stats_reasons	priv UNDOC	_builtin
4.0	_builtin	method-only-in-full	RubyVM::YJIT	.	add_jit_hook	priv UNDOC	_builtin
4.0	_builtin	method-only-in-full	RubyVM::YJIT	.	call_jit_hooks	priv UNDOC	_builtin
4.0	_builtin	method-only-in-full	RubyVM::YJIT	.	code_gc	pub doc(_builtin)	_builtin
4.0	_builtin	method-only-in-full	RubyVM::YJIT	.	disasm	pub UNDOC	_builtin
4.0	_builtin	method-only-in-full	RubyVM::YJIT	.	dump_exit_locations	pub doc(_builtin)	_builtin
4.0	_builtin	method-only-in-full	RubyVM::YJIT	.	enable	pub doc(_builtin)	_builtin
4.0	_builtin	method-only-in-full	RubyVM::YJIT	.	enabled?	pub doc(_builtin)	_builtin
4.0	_builtin	method-only-in-full	RubyVM::YJIT	.	exit_locations	pub UNDOC	_builtin
4.0	_builtin	method-only-in-full	RubyVM::YJIT	.	format_number	priv UNDOC	_builtin
4.0	_builtin	method-only-in-full	RubyVM::YJIT	.	format_number_pct	priv UNDOC	_builtin
4.0	_builtin	method-only-in-full	RubyVM::YJIT	.	insns_compiled	pub UNDOC	_builtin
4.0	_builtin	method-only-in-full	RubyVM::YJIT	.	log	pub doc(_builtin)	_builtin
4.0	_builtin	method-only-in-full	RubyVM::YJIT	.	log_enabled?	pub doc(_builtin)	_builtin
4.0	_builtin	method-only-in-full	RubyVM::YJIT	.	print_and_dump_stats	priv UNDOC	_builtin
4.0	_builtin	method-only-in-full	RubyVM::YJIT	.	print_counters	priv UNDOC	_builtin
4.0	_builtin	method-only-in-full	RubyVM::YJIT	.	print_sorted_exit_counts	priv UNDOC	_builtin
4.0	_builtin	method-only-in-full	RubyVM::YJIT	.	print_sorted_method_calls	priv UNDOC	_builtin
4.0	_builtin	method-only-in-full	RubyVM::YJIT	.	reset_stats!	pub doc(_builtin)	_builtin
4.0	_builtin	method-only-in-full	RubyVM::YJIT	.	runtime_stats	pub doc(_builtin)	_builtin
4.0	_builtin	method-only-in-full	RubyVM::YJIT	.	simulate_oom!	pub UNDOC	_builtin
4.0	_builtin	method-only-in-full	RubyVM::YJIT	.	stats_enabled?	pub doc(_builtin)	_builtin
4.0	_builtin	method-only-in-full	RubyVM::YJIT	.	stats_string	pub doc(_builtin)	_builtin
4.0	_builtin	method-only-in-full	RubyVM::YJIT	.	trace_exit_locations_enabled?	pub UNDOC	_builtin
4.0	_builtin	method-only-in-full	RubyVM::ZJIT	.	add_jit_hook	priv UNDOC	_builtin
4.0	_builtin	method-only-in-full	RubyVM::ZJIT	.	assert_compiles	pub UNDOC	_builtin
4.0	_builtin	method-only-in-full	RubyVM::ZJIT	.	call_jit_hooks	priv UNDOC	_builtin
4.0	_builtin	method-only-in-full	RubyVM::ZJIT	.	dump_exit_locations	pub UNDOC	_builtin
4.0	_builtin	method-only-in-full	RubyVM::ZJIT	.	dump_locations	priv UNDOC	_builtin
4.0	_builtin	method-only-in-full	RubyVM::ZJIT	.	enable	pub UNDOC	_builtin
4.0	_builtin	method-only-in-full	RubyVM::ZJIT	.	enabled?	pub UNDOC	_builtin
4.0	_builtin	method-only-in-full	RubyVM::ZJIT	.	exit_locations	pub UNDOC	_builtin
4.0	_builtin	method-only-in-full	RubyVM::ZJIT	.	number_with_delimiter	priv UNDOC	_builtin
4.0	_builtin	method-only-in-full	RubyVM::ZJIT	.	print_counters	priv UNDOC	_builtin
4.0	_builtin	method-only-in-full	RubyVM::ZJIT	.	print_counters_with_prefix	priv UNDOC	_builtin
4.0	_builtin	method-only-in-full	RubyVM::ZJIT	.	print_stats	priv UNDOC	_builtin
