lib	scope	class	typemark	name	category	3.0	3.1	3.2	3.3	3.4	4.0	4.1	pattern	first_present
_builtin	builtin	Class	#	_load	no-method	X	X	X	X	X	X	X	all	3.0
_builtin	builtin	Data	.	[]	no-method	-	-	X	X	X	X	X	all	3.2
_builtin	builtin	Data	.	members	no-method	-	-	X	X	X	X	X	all	3.2
_builtin	builtin	Data	.	new	no-method	-	-	X	X	X	X	X	all	3.2
_builtin	builtin	File	.	lchmod	no-method	X	o	o	o	o	o	o	old-only	3.0
_builtin	builtin	File::Stat	#	birthtime	no-method	X	X	X	X	X	o	o	old-only	3.0
_builtin	builtin	Numeric	#	/	no-method	X	X	X	X	X	X	X	all	3.0
_builtin	builtin	Object	#	_dump	no-method	X	X	X	X	X	X	X	all	3.0
_builtin	builtin	Object	#	marshal_dump	no-method	X	X	X	X	X	X	X	all	3.0
_builtin	builtin	Object	#	marshal_load	no-method	X	X	X	X	X	X	X	all	3.0
_builtin	builtin	ObjectSpace	.#	_id2ref	no-method	o	o	o	o	o	o	X	new-only	3.0
_builtin	builtin	Process::Sys	.#	issetugid	no-method	X	X	X	X	X	X	X	all	3.0
_builtin	builtin	Process::Sys	.#	setrgid	no-method	X	X	X	X	X	X	X	all	3.0
_builtin	builtin	Process::Sys	.#	setruid	no-method	X	X	X	X	X	X	X	all	3.0
_builtin	builtin	Random::Formatter	#	alphanumeric	no-method	X	X	X	X	X	X	X	all	3.0
_builtin	builtin	RubyVM::YJIT	.	code_gc	no-class	-	-	X	X	X	X	o	old-only	3.2
_builtin	builtin	RubyVM::YJIT	.	dump_exit_locations	no-class	-	-	X	X	X	X	o	old-only	3.2
_builtin	builtin	RubyVM::YJIT	.	enable	no-class	-	-	-	X	X	X	o	old-only	3.3
_builtin	builtin	RubyVM::YJIT	.	enabled?	no-class	-	o	X	X	X	X	o	middle	3.1
_builtin	builtin	RubyVM::YJIT	.	log	no-class	-	-	-	-	X	X	o	old-only	3.4
_builtin	builtin	RubyVM::YJIT	.	log_enabled?	no-class	-	-	-	-	X	X	o	old-only	3.4
_builtin	builtin	RubyVM::YJIT	.	reset_stats!	no-class	-	o	X	X	X	X	o	middle	3.1
_builtin	builtin	RubyVM::YJIT	.	runtime_stats	no-class	-	o	X	X	X	X	o	middle	3.1
_builtin	builtin	RubyVM::YJIT	.	stats_enabled?	no-class	-	o	X	X	X	X	o	middle	3.1
_builtin	builtin	RubyVM::YJIT	.	stats_string	no-class	-	-	-	X	X	X	o	old-only	3.3
_builtin	builtin	Struct	.	[]	no-method	X	X	X	X	X	X	X	all	3.0
_builtin	builtin	Struct	.	keyword_init?	no-method	-	X	X	X	X	X	X	all	3.1
_builtin	builtin	Struct	.	members	no-method	X	X	X	X	X	X	X	all	3.0
_builtin	builtin	Thread	.	DEBUG	no-method	X	X	X	X	X	X	X	all	3.0
_builtin	builtin	Thread	.	DEBUG=	no-method	X	X	X	X	X	X	X	all	3.0
bigdecimal	bundled	BigDecimal	#	precs	no-method	o	o	o	o	o	X	X	new-only	3.0
cgi/core	stdlib	CGI::QueryExtension::Value	#	[]	no-class	X	X	X	X	X	-	-	all	3.0
cgi/core	stdlib	CGI::QueryExtension::Value	#	first	no-class	X	X	X	X	X	-	-	all	3.0
cgi/core	stdlib	CGI::QueryExtension::Value	#	last	no-class	X	X	X	X	X	-	-	all	3.0
cgi/core	stdlib	CGI::QueryExtension::Value	#	set_params	no-class	X	X	X	X	X	-	-	all	3.0
cgi/core	stdlib	CGI::QueryExtension::Value	#	to_a	no-class	X	X	X	X	X	-	-	all	3.0
cgi/core	stdlib	CGI::QueryExtension::Value	#	to_ary	no-class	X	X	X	X	X	-	-	all	3.0
cgi/html	stdlib	CGI::Html3	#	element_init	no-method	X	X	X	X	X	-	-	all	3.0
cgi/html	stdlib	CGI::Html4	#	element_init	no-method	X	X	X	X	X	-	-	all	3.0
cgi/html	stdlib	CGI::Html4Fr	#	element_init	no-method	X	X	X	X	X	-	-	all	3.0
cgi/html	stdlib	CGI::Html4Tr	#	element_init	no-method	X	X	X	X	X	-	-	all	3.0
csv	stdlib	CSV::Row	#	deconstruct	no-method	-	X	o	o	o	o	o	old-only	3.1
csv	stdlib	CSV::Row	#	deconstruct_keys	no-method	-	X	o	o	o	o	o	old-only	3.1
date	stdlib	DateTime	.	today	no-method	X	X	X	X	X	X	X	all	3.0
etc	stdlib	Etc::Passwd	#	age	no-method	X	X	X	X	X	X	X	all	3.0
etc	stdlib	Etc::Passwd	#	age=	no-method	X	X	X	X	X	X	X	all	3.0
etc	stdlib	Etc::Passwd	#	change	no-method	X	X	X	X	X	X	X	all	3.0
etc	stdlib	Etc::Passwd	#	change=	no-method	X	X	X	X	X	X	X	all	3.0
etc	stdlib	Etc::Passwd	#	comment	no-method	X	X	X	X	X	X	X	all	3.0
etc	stdlib	Etc::Passwd	#	comment=	no-method	X	X	X	X	X	X	X	all	3.0
etc	stdlib	Etc::Passwd	#	expire	no-method	X	X	X	X	X	X	X	all	3.0
etc	stdlib	Etc::Passwd	#	expire=	no-method	X	X	X	X	X	X	X	all	3.0
etc	stdlib	Etc::Passwd	#	quota	no-method	X	X	X	X	X	X	X	all	3.0
etc	stdlib	Etc::Passwd	#	quota=	no-method	X	X	X	X	X	X	X	all	3.0
etc	stdlib	Etc::Passwd	#	uclass	no-method	X	X	X	X	X	X	X	all	3.0
etc	stdlib	Etc::Passwd	#	uclass=	no-method	X	X	X	X	X	X	X	all	3.0
fiddle	bundled	Fiddle	.	win32_last_error	no-method	?	X	X	X	X	X	X	all	3.0
fiddle	bundled	Fiddle	.	win32_last_error=	no-method	?	X	X	X	X	X	X	all	3.0
fiddle/import	bundled	Fiddle::CStruct	#	to_i	no-method	?	X	X	X	X	X	X	all	3.0
fiddle/import	bundled	Fiddle::CStruct	#	to_ptr	no-method	?	X	X	X	X	X	X	all	3.0
fiddle/import	bundled	Fiddle::CStruct	.	malloc	no-method	?	X	X	X	X	X	X	all	3.0
fiddle/import	bundled	Fiddle::CStruct	.	size	no-method	?	X	X	X	X	X	X	all	3.0
io/wait	stdlib	IO	#	nread	no-method	o	o	o	o	o	X	X	new-only	3.0
io/wait	stdlib	IO	#	ready?	no-method	o	o	o	o	o	X	X	new-only	3.0
irb	bundled	IRB	.	irb_at_exit	no-method	o	o	o	X	X	X	X	new-only	3.0
irb/context	bundled	IRB::Context	#	debug?	no-method	X	X	X	X	X	X	X	all	3.0
irb/context	bundled	IRB::Context	#	debug_level	no-method	X	X	X	X	X	X	X	all	3.0
irb/context	bundled	IRB::Context	#	debug_level=	no-method	X	X	X	X	X	X	X	all	3.0
irb/context	bundled	IRB::Context	#	workspace=	no-method	o	o	o	o	X	X	X	new-only	3.0
irb/ext/tracer	bundled	IRB::Context	#	use_tracer	no-class	o	X	X	X	X	X	X	new-only	3.0
irb/ext/tracer	bundled	IRB::Context	#	use_tracer=	no-class	o	o	o	o	X	X	X	new-only	3.0
irb/ext/tracer	bundled	IRB::Context	#	use_tracer?	no-class	o	X	X	X	X	X	X	new-only	3.0
irb/input-method	bundled	IRB::InputMethod	#	file_name	no-method	o	o	o	X	X	X	X	new-only	3.0
irb/input-method	bundled	IRB::InputMethod	#	readable_atfer_eof?	no-method	X	X	X	X	X	X	X	all	3.0
irb/input-method	bundled	IRB::ReadlineInputMethod	#	readable_atfer_eof?	no-method	X	X	X	X	X	X	X	all	3.0
irb/input-method	bundled	IRB::StdioInputMethod	#	readable_atfer_eof?	no-method	X	X	X	X	X	X	X	all	3.0
