lib	scope	class	kind	name	vis	category	feature	3.0	3.1	3.2	3.3	3.4	4.0	4.1	pattern	first_present
drb/acl	bundled	ACL::ACLEntry	i	match	pub	UNDOC(class-undoc)	drb/acl	X	X	X	X	X	X	X	all	3.0
drb/acl	bundled	ACL::ACLList	i	add	pub	UNDOC(class-undoc)	drb/acl	X	X	X	X	X	X	X	all	3.0
drb/acl	bundled	ACL::ACLList	i	match	pub	UNDOC(class-undoc)	drb/acl	X	X	X	X	X	X	X	all	3.0
socket	stdlib	Addrinfo	i	connect_internal	prot	UNDOC	socket	X	X	X	X	X	X	X	all	3.0
rexml	bundled	Array	i	dclone	pub	UNDOC	rexml/xpath_parser	X	-	-	-	-	-	-	all	3.0
mkmf	stdlib	Array	i	quote	pub	UNDOC	mkmf	X	X	X	X	X	X	X	all	3.0
benchmark	bundled	Benchmark	s	ms	pub	UNDOC	benchmark	-	-	-	-	-	X	X	all	4.0
benchmark	bundled	Benchmark::Report	i	width	pub	UNDOC	benchmark	-	-	-	-	X	X	X	all	3.4
benchmark	bundled	Benchmark::Tms	i	to_h	pub	UNDOC	benchmark	-	X	X	X	X	X	X	all	3.1
bigdecimal	bundled	BigDecimal	i	as_json	pub	UNDOC	json/add/bigdecimal	X	X	X	X	X	X	-	all	3.0
bigdecimal	bundled	BigDecimal	i	n_significant_digits	pub	UNDOC	-	X	X	X	X	X	X	X	all	3.0
bigdecimal	bundled	BigDecimal	i	precision	pub	UNDOC	-	X	X	X	X	X	X	X	all	3.0
bigdecimal	bundled	BigDecimal	i	precision_scale	pub	UNDOC	-	-	X	X	X	X	X	X	all	3.1
bigdecimal	bundled	BigDecimal	i	scale	pub	UNDOC	-	-	X	X	X	X	X	X	all	3.1
bigdecimal	bundled	BigDecimal	s	interpret_loosely	pub	UNDOC	-	X	X	X	X	X	X	X	all	3.0
bigdecimal	bundled	BigDecimal::Internal	s	coerce_to_bigdecimal	pub	UNDOC(class-undoc)	bigdecimal	-	-	-	-	-	X	X	all	4.0
bigdecimal	bundled	BigDecimal::Internal	s	coerce_validate_prec	pub	UNDOC(class-undoc)	bigdecimal	-	-	-	-	-	X	X	all	4.0
bigdecimal	bundled	BigDecimal::Internal	s	float_log	pub	UNDOC(class-undoc)	bigdecimal	-	-	-	-	-	-	X	all	4.1
bigdecimal	bundled	BigDecimal::Internal	s	infinity_computation_result	pub	UNDOC(class-undoc)	bigdecimal	-	-	-	-	-	X	X	all	4.0
bigdecimal	bundled	BigDecimal::Internal	s	nan_computation_result	pub	UNDOC(class-undoc)	bigdecimal	-	-	-	-	-	X	X	all	4.0
bigdecimal	bundled	BigDecimal::Internal	s	newton_loop	pub	UNDOC(class-undoc)	bigdecimal	-	-	-	-	-	-	X	all	4.1
bigdecimal	bundled	BigDecimal::Internal	s	taylor_sum_binary_splitting	pub	UNDOC(class-undoc)	bigdecimal	-	-	-	-	-	-	X	all	4.1
bigdecimal	bundled	BigDecimal::Internal	s	underflow_computation_result	pub	UNDOC(class-undoc)	bigdecimal	-	-	-	-	-	-	X	all	4.1
bigdecimal	bundled	BigMath	s	acos	pub	UNDOC	bigdecimal/math	-	-	-	-	-	X	X	all	4.0
bigdecimal	bundled	BigMath	s	acosh	pub	UNDOC	bigdecimal/math	-	-	-	-	-	X	X	all	4.0
bigdecimal	bundled	BigMath	s	asin	pub	UNDOC	bigdecimal/math	-	-	-	-	-	X	X	all	4.0
bigdecimal	bundled	BigMath	s	asinh	pub	UNDOC	bigdecimal/math	-	-	-	-	-	X	X	all	4.0
bigdecimal	bundled	BigMath	s	atan2	pub	UNDOC	bigdecimal/math	-	-	-	-	-	X	X	all	4.0
bigdecimal	bundled	BigMath	s	atanh	pub	UNDOC	bigdecimal/math	-	-	-	-	-	X	X	all	4.0
bigdecimal	bundled	BigMath	s	cbrt	pub	UNDOC	bigdecimal/math	-	-	-	-	-	X	X	all	4.0
bigdecimal	bundled	BigMath	s	cosh	pub	UNDOC	bigdecimal/math	-	-	-	-	-	X	X	all	4.0
bigdecimal	bundled	BigMath	s	erf	pub	UNDOC	bigdecimal/math	-	-	-	-	-	X	X	all	4.0
bigdecimal	bundled	BigMath	s	erfc	pub	UNDOC	bigdecimal/math	-	-	-	-	-	X	X	all	4.0
bigdecimal	bundled	BigMath	s	expm1	pub	UNDOC	bigdecimal/math	-	-	-	-	-	X	X	all	4.0
bigdecimal	bundled	BigMath	s	frexp	pub	UNDOC	bigdecimal/math	-	-	-	-	-	X	X	all	4.0
bigdecimal	bundled	BigMath	s	gamma	pub	UNDOC	bigdecimal/math	-	-	-	-	-	X	X	all	4.0
bigdecimal	bundled	BigMath	s	hypot	pub	UNDOC	bigdecimal/math	-	-	-	-	-	X	X	all	4.0
bigdecimal	bundled	BigMath	s	ldexp	pub	UNDOC	bigdecimal/math	-	-	-	-	-	X	X	all	4.0
bigdecimal	bundled	BigMath	s	lgamma	pub	UNDOC	bigdecimal/math	-	-	-	-	-	X	X	all	4.0
bigdecimal	bundled	BigMath	s	log10	pub	UNDOC	bigdecimal/math	-	-	-	-	-	X	X	all	4.0
bigdecimal	bundled	BigMath	s	log1p	pub	UNDOC	bigdecimal/math	-	-	-	-	-	X	X	all	4.0
bigdecimal	bundled	BigMath	s	log2	pub	UNDOC	bigdecimal/math	-	-	-	-	-	X	X	all	4.0
bigdecimal	bundled	BigMath	s	sinh	pub	UNDOC	bigdecimal/math	-	-	-	-	-	X	X	all	4.0
bigdecimal	bundled	BigMath	s	tan	pub	UNDOC	bigdecimal/math	-	-	-	-	-	X	X	all	4.0
bigdecimal	bundled	BigMath	s	tanh	pub	UNDOC	bigdecimal/math	-	-	-	-	-	X	X	all	4.0
bundler	stdlib(no-method-docs)	Bundler	s	URI	pub	UNDOC(class-undoc)	bundler/vendor/uri/lib/uri/common	X	X	X	X	-	-	-	all	3.0
bundler	stdlib(no-method-docs)	Bundler	s	app_cache	pub	UNDOC(class-undoc)	bundler	X	X	X	X	X	X	X	all	3.0
bundler	stdlib(no-method-docs)	Bundler	s	app_config_path	pub	UNDOC(class-undoc)	bundler	X	X	X	X	X	X	X	all	3.0
bundler	stdlib(no-method-docs)	Bundler	s	auto_install	pub	UNDOC(class-undoc)	bundler	-	-	-	-	X	X	X	all	3.4
bundler	stdlib(no-method-docs)	Bundler	s	auto_switch	pub	UNDOC(class-undoc)	bundler	-	-	-	-	X	X	X	all	3.4
bundler	stdlib(no-method-docs)	Bundler	s	bin_path	pub	UNDOC(class-undoc)	bundler	X	X	X	X	X	X	X	all	3.0
