#path	canonical	1.8.6	1.8.7	1.9.1	1.9.2	1.9.3	2.0.0	2.1	2.2	2.3	2.4	2.5	2.6	2.7	3.0	3.1	3.2	3.3	3.4	4.0
BasicObject::BasicObject	BasicObject	-	-	-	BasicObject	BasicObject	BasicObject	BasicObject	BasicObject	BasicObject	BasicObject	BasicObject	BasicObject	BasicObject	BasicObject	BasicObject	BasicObject	BasicObject	BasicObject	BasicObject
Bignum	Integer	Bignum	Bignum	Bignum	Bignum	Bignum	Bignum	Bignum	Bignum	Bignum	Integer	Integer	Integer	Integer	Integer	Integer	-	-	-	-
ConditionVariable	Thread::ConditionVariable	-	-	-	-	-	-	-	-	Thread::ConditionVariable	Thread::ConditionVariable	Thread::ConditionVariable	Thread::ConditionVariable	Thread::ConditionVariable	Thread::ConditionVariable	Thread::ConditionVariable	Thread::ConditionVariable	Thread::ConditionVariable	Thread::ConditionVariable	Thread::ConditionVariable
Errno::EAUTH	Errno::NOERROR	-	-	-	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR
Errno::EBADARCH	Errno::NOERROR	-	-	-	-	-	-	-	-	-	-	-	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR
Errno::EBADEXEC	Errno::NOERROR	-	-	-	-	-	-	-	-	-	-	-	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR
Errno::EBADMACHO	Errno::NOERROR	-	-	-	-	-	-	-	-	-	-	-	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR
Errno::EBADRPC	Errno::NOERROR	-	-	-	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR
Errno::ECAPMODE	Errno::NOERROR	-	-	-	-	-	-	-	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR
Errno::EDEADLOCK	Errno::EDEADLK	Errno::EDEADLK	Errno::EDEADLK	Errno::EDEADLK	Errno::EDEADLK	Errno::EDEADLK	Errno::EDEADLK	Errno::EDEADLK	Errno::EDEADLK	Errno::EDEADLK	Errno::EDEADLK	Errno::EDEADLK	Errno::EDEADLK	Errno::EDEADLK	Errno::EDEADLK	Errno::EDEADLK	Errno::EDEADLK	Errno::EDEADLK	Errno::EDEADLK	Errno::EDEADLK
Errno::EDEVERR	Errno::NOERROR	-	-	-	-	-	-	-	-	-	-	-	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR
