class	kind	method	vis	first	last	category	hint
ARGF.class	i	initialize	priv	1.9.1	4.0	DOC_ON_ANCESTOR	Object(Object.md)
ARGF.class	i	initialize_copy	priv	1.9.1	4.0	DOC_ON_ANCESTOR	Object(Object.md)
Array	i	deconstruct	pub	2.7	4.0	UNDOC	-
Array	i	detect	pub	4.0	4.0	DOC_ON_ANCESTOR	Enumerable(Enumerable.md)
Array	i	find	pub	4.0	4.0	DOC_ON_ANCESTOR	Enumerable(Enumerable.md)
Array	i	freeze	pub	3.4	4.0	DOC_ON_ANCESTOR	Object(Object.md)
Array	i	initialize_copy	priv	1.8.6	4.0	DOC_ON_ANCESTOR	Object(Object.md)
BasicObject	i	initialize	priv	1.9.2	4.0	DOC_ON_DESCENDANT	Object(Object.md)
Binding	i	clone	pub	1.8.6	4.0	DOC_ON_ANCESTOR	Object(Object.md)
Binding	i	dup	pub	1.8.6	4.0	DOC_ON_ANCESTOR	Object(Object.md)
Class	s	allocate	pub	3.1	4.0	UNDOC	-
Complex	i	eql?	pub	1.9.1	4.0	DOC_ON_ANCESTOR	Numeric(Numeric.md)
Complex	i	hash	pub	1.9.1	4.0	DOC_ON_ANCESTOR	Object(Object.md)
Complex	s	convert	priv	1.9.1	4.0	UNDOC	-
Data	i	initialize_copy	priv	3.2	4.0	DOC_ON_ANCESTOR	Object(Object.md)
Dir	i	chdir	pub	3.3	4.0	UNDOC	-
Encoding	i	_dump	pub	1.9.1	4.0	DOC_ON_ANCESTOR	Object(Object.md)
Encoding	s	_load	pub	1.9.1	4.0	UNDOC	-
Encoding::Converter	i	==	pub	1.9.3	4.0	DOC_ON_ANCESTOR	Object(Object.md)
Enumerator	i	each_with_index	pub	1.9.1	4.0	DOC_ON_ANCESTOR	Enumerable(Enumerable.md)
Enumerator	i	each_with_object	pub	1.9.1	4.0	DOC_ON_ANCESTOR	Enumerable(Enumerable.md)
Enumerator	i	initialize_copy	priv	1.9.1	4.0	DOC_ON_ANCESTOR	Object(Object.md)
Enumerator	i	inspect	pub	1.9.2	4.0	DOC_ON_ANCESTOR	Object(Object.md)
Enumerator::ArithmeticSequence	i	===	pub	2.6	4.0	DOC_ON_ANCESTOR	Object(Object.md)
Enumerator::ArithmeticSequence	i	eql?	pub	2.6	4.0	DOC_ON_ANCESTOR	Object(Object.md)
Enumerator::Chain	i	initialize_copy	priv	2.6	4.0	DOC_ON_ANCESTOR	Object(Object.md)
Enumerator::Generator	i	initialize	priv	1.9.1	4.0	DOC_ON_ANCESTOR	Object(Object.md)
Enumerator::Generator	i	initialize_copy	priv	1.9.1	4.0	DOC_ON_ANCESTOR	Object(Object.md)
Enumerator::Lazy	i	_enumerable_collect	priv	2.7	4.0	UNDOC	-
Enumerator::Lazy	i	_enumerable_collect_concat	priv	2.7	4.0	UNDOC	-
Enumerator::Lazy	i	_enumerable_drop	priv	2.7	4.0	UNDOC	-
Enumerator::Lazy	i	_enumerable_drop_while	priv	2.7	4.0	UNDOC	-
Enumerator::Lazy	i	_enumerable_filter	priv	2.7	4.0	UNDOC	-
Enumerator::Lazy	i	_enumerable_filter_map	priv	2.7	4.0	UNDOC	-
Enumerator::Lazy	i	_enumerable_find_all	priv	2.7	4.0	UNDOC	-
Enumerator::Lazy	i	_enumerable_flat_map	priv	2.7	4.0	UNDOC	-
Enumerator::Lazy	i	_enumerable_grep	priv	2.7	4.0	UNDOC	-
Enumerator::Lazy	i	_enumerable_grep_v	priv	2.7	4.0	UNDOC	-
Enumerator::Lazy	i	_enumerable_map	priv	2.7	4.0	UNDOC	-
Enumerator::Lazy	i	_enumerable_reject	priv	2.7	4.0	UNDOC	-
Enumerator::Lazy	i	_enumerable_select	priv	2.7	4.0	UNDOC	-
Enumerator::Lazy	i	_enumerable_take	priv	2.7	4.0	UNDOC	-
Enumerator::Lazy	i	_enumerable_take_while	priv	2.7	4.0	UNDOC	-
Enumerator::Lazy	i	_enumerable_uniq	priv	2.7	4.0	UNDOC	-
Enumerator::Lazy	i	_enumerable_with_index	priv	2.7	4.0	UNDOC	-
Enumerator::Lazy	i	_enumerable_zip	priv	2.7	4.0	UNDOC	-
Enumerator::Producer	i	each	pub	2.7	4.0	UNDOC	class-undocumented
Enumerator::Product	i	initialize_copy	priv	3.2	4.0	DOC_ON_ANCESTOR	Object(Object.md)
Enumerator::Yielder	i	initialize	priv	1.9.1	4.0	DOC_ON_ANCESTOR	Object(Object.md)
Exception	i	method_missing	priv	2.0.0	4.0	DOC_ON_ANCESTOR	BasicObject(BasicObject.md)
Exception	i	respond_to?	pub	2.0.0	4.0	DOC_ON_ANCESTOR	Object(Object.md)
Exception	i	respond_to_missing?	priv	2.0.0	4.0	DOC_ON_ANCESTOR	Object(Object.md)
FalseClass	i	===	pub	2.3	4.0	DOC_ON_ANCESTOR	Object(Object.md)
Fiber	i	inspect	pub	2.5	4.0	DOC_ON_ANCESTOR	Object(Object.md)
Fiber	i	to_s	pub	2.5	4.0	DOC_ON_ANCESTOR	Object(Object.md)
File::Stat	i	initialize_copy	priv	1.8.6	4.0	DOC_ON_ANCESTOR	Object(Object.md)
File::Stat	i	inspect	pub	1.8.6	4.0	DOC_ON_ANCESTOR	Object(Object.md)
Float	i	===	pub	1.9.1	4.0	DOC_ON_ANCESTOR	Object(Object.md)
Float	i	coerce	pub	1.8.6	4.0	DOC_ON_ANCESTOR	Numeric(Numeric.md)
Float	i	fdiv	pub	1.9.1	4.0	DOC_ON_ANCESTOR	Numeric(Numeric.md)
Float	i	quo	pub	1.9.1	4.0	DOC_ON_ANCESTOR	Numeric(Numeric.md)
Float	i	to_int	pub	1.8.6	4.0	DOC_ON_ANCESTOR	Numeric(Numeric.md)
GC	s	latest_compact_info	pub	3.0	4.0	UNDOC	-
GC	s	using_rvargc?	pub	3.1	3.2	UNDOC	-
GC	s	verify_internal_consistency	pub	2.1	4.0	UNDOC	-
GC	s	verify_transient_heap_internal_consistency	pub	2.6	3.2	UNDOC	-
Hash	i	any?	pub	2.2	4.0	DOC_ON_ANCESTOR	Enumerable(Enumerable.md)
Hash	i	deconstruct_keys	pub	2.7	4.0	UNDOC	-
Hash	i	freeze	pub	3.4	4.0	DOC_ON_ANCESTOR	Object(Object.md)
Hash	i	initialize_copy	priv	1.8.6	4.0	DOC_ON_ANCESTOR	Object(Object.md)
IO	i	initialize_copy	priv	1.8.6	4.0	DOC_ON_ANCESTOR	Object(Object.md)
IO	i	inspect	pub	1.8.6	4.0	DOC_ON_ANCESTOR	Object(Object.md)
IO::Buffer	i	initialize_copy	priv	3.2	4.0	DOC_ON_ANCESTOR	Object(Object.md)
Integer	i	coerce	pub	2.4	4.0	DOC_ON_ANCESTOR	Numeric(Numeric.md)
Interrupt	i	initialize	priv	1.8.6	4.0	DOC_ON_ANCESTOR	SignalException(SignalException.md)
Kernel	i	!~	pub	1.9.1	4.0	DOC_ON_DESCENDANT	Object(Object.md)
Kernel	i	<=>	pub	1.9.2	4.0	DOC_ON_DESCENDANT	Object(Object.md)
Kernel	i	===	pub	1.8.6	4.0	DOC_ON_DESCENDANT	Object(Object.md)
Kernel	i	=~	pub	1.8.6	3.1	DOC_ON_DESCENDANT	Object(Object.md)
Kernel	i	class	pub	1.8.6	4.0	DOC_ON_DESCENDANT	Object(Object.md)
Kernel	i	clone	pub	1.8.6	4.0	DOC_ON_DESCENDANT	Object(Object.md)
Kernel	i	define_singleton_method	pub	1.9.1	4.0	DOC_ON_DESCENDANT	Object(Object.md)
Kernel	i	display	pub	1.8.6	4.0	DOC_ON_DESCENDANT	Object(Object.md)
Kernel	i	dup	pub	1.8.6	4.0	DOC_ON_DESCENDANT	Object(Object.md)
Kernel	i	enum_for	pub	1.8.7	4.0	DOC_ON_DESCENDANT	Object(Object.md)
Kernel	i	eql?	pub	1.8.6	4.0	DOC_ON_DESCENDANT	Object(Object.md)
Kernel	i	extend	pub	1.8.6	4.0	DOC_ON_DESCENDANT	Object(Object.md)
Kernel	i	freeze	pub	1.8.6	4.0	DOC_ON_DESCENDANT	Object(Object.md)
Kernel	i	frozen?	pub	1.8.6	4.0	DOC_ON_DESCENDANT	Object(Object.md)
Kernel	i	hash	pub	1.8.6	4.0	DOC_ON_DESCENDANT	Object(Object.md)
Kernel	i	initialize_clone	priv	1.9.2	4.0	DOC_ON_DESCENDANT	Object(Object.md)
Kernel	i	initialize_copy	priv	1.8.6	4.0	DOC_ON_DESCENDANT	Object(Object.md)
Kernel	i	initialize_dup	priv	1.9.2	4.0	DOC_ON_DESCENDANT	Object(Object.md)
Kernel	i	inspect	pub	1.8.6	4.0	DOC_ON_DESCENDANT	Object(Object.md)
Kernel	i	instance_of?	pub	1.8.6	4.0	DOC_ON_DESCENDANT	Object(Object.md)
Kernel	i	instance_variable_defined?	pub	1.8.6	4.0	DOC_ON_DESCENDANT	Object(Object.md)
